accuracy,precision,recall,f1-score,dataset
0.76875,0.6923076923076923,0.631578947368421,0.6605504587155963,diabetes
0.9652173913043478,0.975609756097561,0.9302325581395349,0.9523809523809524,breast_cancer
0.8858695652173914,0.9019607843137255,0.8932038834951457,0.8975609756097561,heart
0.7444933920704846,0.8333333333333334,0.6746031746031746,0.7456140350877194,cardio
0.775330396475771,0.7912087912087912,0.6923076923076923,0.7384615384615384,heart_statlog
